Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
3C196_515, cluster1, POINT, 08:13:36.358, 48.13.01.931, 0.00519988918676972, 0, 0, 0, [0.00898288656026125, -0.0271532889455557], false, 144876098.632812, , ,
3C196_521, cluster1, POINT, 08:13:36.448, 48.13.01.981, 0.00613014539703727, 0, 0, 0, [-0.0019021894549951, -0.00357256014831364], false, 144876098.632812, , ,
3C196_522, cluster1, POINT, 08:13:36.378, 48.13.01.981, 0.00568324793130159, 0, 0, 0, [-0.00308168609626591, -0.0288978144526482], false, 144876098.632812, , ,
3C196_523, cluster1, POINT, 08:13:36.363, 48.13.01.981, 0.00232087890617549, 0, 0, 0, [0.00155192404054105, 0.119372420012951], false, 144876098.632812, , ,
3C196_529, cluster1, POINT, 08:13:36.383, 48.13.02.031, 0.0057499036192894, 0, 0, 0, [-0.00271646678447723, 0.0951103568077087], false, 144876098.632812, , ,
3C196_530, cluster1, POINT, 08:13:36.378, 48.13.02.031, 0.00916753616183996, 0, 0, 0, [-0.00466498965397477, -0.00139954243786633], false, 144876098.632812, , ,
3C196_537, cluster1, POINT, 08:13:36.383, 48.13.02.081, 0.000919587910175323, 0, 0, 0, [0.000456861191196367, -0.00416074506938457], false, 144876098.632812, , ,
3C196_542, cluster1, POINT, 08:13:36.423, 48.13.02.131, 0.00550584029406309, 0, 0, 0, [0.0108198318630457, 0.0327211506664753], false, 144876098.632812, , ,
3C196_558, cluster1, POINT, 08:13:36.393, 48.13.02.231, 0.00966661609709263, 0, 0, 0, [-0.0149655696004629, 0.00221595168113708], false, 144876098.632812, , ,
3C196_559, cluster1, POINT, 08:13:36.388, 48.13.02.231, 0.0036402742844075, 0, 0, 0, [-0.00920615531504154, 0.056217473000288], false, 144876098.632812, , ,
3C196_560, cluster1, POINT, 08:13:36.383, 48.13.02.231, 0.00137191521935165, 0, 0, 0, [-0.00220652250573039, 0.0479775592684746], false, 144876098.632812, , ,
3C196_561, cluster1, POINT, 08:13:36.378, 48.13.02.231, 0.00114739499986172, 0, 0, 0, [0.0026068405713886, 0.00135745306033641], false, 144876098.632812, , ,
3C196_575, cluster1, POINT, 08:13:36.413, 48.13.02.281, 0.0128691261634231, 0, 0, 0, [-0.00614761421456933, -0.135377407073975], false, 144876098.632812, , ,
3C196_576, cluster1, POINT, 08:13:36.403, 48.13.02.281, 0.00378527119755745, 0, 0, 0, [-0.00375793338753283, 0.0139823444187641], false, 144876098.632812, , ,
3C196_577, cluster1, POINT, 08:13:36.398, 48.13.02.281, 0.00921908486634493, 0, 0, 0, [-0.020554818212986, 0.0188188832253218], false, 144876098.632812, , ,
